category,articles_total,articles_geopolitics,tier
Health Care Providers and Services,23,1,other
Health Care Equipment and Supplies,5,1,other
Health Care Equipment,18,1,other
Health Care Distributors,12,1,other
Political Action Committees,4,1,other
Personalized Medicine,4,1,other
Strategic Alliances,1,1,other
Europe needs swagger,2,1,other
Europe Tonight,1,1,other
Farnborough Airshow ,2,1,other
Family Offices,38,1,other
Estate Tax,23,1,other
Better Energy - Storage,1,1,other
Better Energy - Sharing,1,1,other
Stagflation,9,1,other
Squawk Recovery Watch,2,1,other
Norwegian Krone,6,1,other
Homefurnishing Retail,26,1,other
Home Improvement Retail,46,1,other
CNBC Documentaries,4,1,other
New Zealand Dollar;NZD=X,588,1,other
NYSE,6,1,other
Office REITs,4,1,other
Mutual Funds,118,1,other
Bank Accounts,62,1,other
Cyber Report,19,1,other
Currency Futures,6,1,other
Energy Future,2,1,other
Auto Loans,183,1,other
Australia and New Zealand: Television,1,1,other
Subprime Lending,4,1,other
Industrial Revolutions,1,1,other
Commodity ETFs,10,1,other
Commodity Chemicals,2,1,other
Morning Call,41,1,other
Money in Motion,4,1,other
Nonfarm Payrolls,70,1,other
Medicare,221,1,other
CNBC Investing Club Charitable Trust,6856,1,other
Markets Overview,1,1,other
Money Market,53,1,other
Millennial Money,100,1,other
Mexican Peso,20,1,other
Mergers and Acquisitions: CNBC Explains,8,1,other
Managed Health Care,51,1,other
Man Vs Machine,1,1,other
College Planning,327,1,other
IRA,283,1,other
ICE,4,1,other
Hurricanes,78,1,other
Make It - The Hustle,57,1,other
Inside Wealth,12,1,other
Technology Distributors,3,1,other
Employee Benefits,233,1,other
Electrical Equipment,6,1,other
Education and You,42,1,other
Economic Reports,10,1,other
At Work,118,1,other
Asset Management and Custody Banks,29,1,other
Asia: Television,5,1,other
Australia Government Bonds,7,1,other
Tech Guide,239,1,other
Tech Digital Original Video,11,1,other
Economic Organizations,3,1,other
Ebola,1,1,other
Delivering Alpha,45,1,other
Deflation,9,1,other
Asia: CNBC Sports,3,1,other
Telecommuting,26,1,other
